일련번호,미디어유형,제목명,장소명,장소유형,관련장소설명,운영시간,휴식시간,휴무일안내내용,주소,위치위도,위치경도,전화번호,최종수정일자
11,drama,(아는 건 별로 없지만) 가족입니다,가든포에트,restaurant,9화에서 이진숙(원미경)과 딸 김은주(추자현)가 찾아온 카페이다,화-일 11시 - 21시 30분,정보없음,월요일,서울특별시 마포구 와우산로14길 12,37.55016,126.9237,50713770887.0,20221125
12,drama,(아는 건 별로 없지만) 가족입니다,구룡근린공원,playground,12회에서 김지우(신재하 분)와 윤서영(신혜정/혜정 분)이 이 공원에서 회사 제품 화보 촬영을 한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 월드컵북로 456,37.582996,126.88385,231538114.0,20221125
13,drama,(아는 건 별로 없지만) 가족입니다,월드컵공원,playground,12회에서 김은희(한예리)와 박찬혁(김지석)이 진솔한 이야기를 나누기 위해 이 공원을 찾아온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 하늘공원로 86,37.5708905,126.878429,23005500.0,20221125
14,drama,(아는 건 별로 없지만) 가족입니다,소월로 계단 3번,playground,김상식(정진영)은 12회에서 아내 이진숙(원미경)을 데리고 이 계단으로 나와 아이들에게 커피 테이크아웃을 시켜준다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 소월로 168,37.547514,126.98424,221996114.0,20221125
15,drama,(아는 건 별로 없지만) 가족입니다,대학로11길,playground,김은희(김지석)는 이곳을 지나가다가 학생들이 걸어가는 방향을 피해서 김은희(예한) 학생들을 붙잡는다. 그리고 나서 그는 그녀의 손을 잡을 기회를 잡는다. 잠시 말문이 막힌 은희가 어색하지 않게 손을 뗀다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 대학로11길 13,37.582193,127.00092,221481114.0,20221125
16,drama,(아는 건 별로 없지만) 가족입니다,커피한약방 혜화점,cafe,김상식(정진영)은 온라인에서 나이 많은 커플들의 좋은 데이트 장소로 검색해 아내 이진숙(원미경)을 데려왔다. 그는 온라인에서 읽은 데이트 조언에 따라 커피를 마시면서 휴대 전화에 사진을 보여줍니다. (진심어린 대화로 상황이 더 진지해질 때까지.),"월-목 12시 - 21시, 금-일 12시 - 22시",정보없음,연중무휴,서울특별시 종로구 동숭2길 9,37.580861,127.0048,7042004242.0,20221125
17,drama,(아는 건 별로 없지만) 가족입니다,포시즌스호텔,stay,12화에서 바리스터 안효석(이종원)이 김은주(추자현)에게 작별인사를 하고 있다.,"매일 입실 15시, 퇴실 12시",정보없음,연중무휴,서울특별시 종로구 새문안로 97,37.57065,126.9754,263885000.0,20221125
18,drama,(아는 건 별로 없지만) 가족입니다,푸른기린주차장,playground,"김은희(한예리)는 4년 만에 만난 박찬혁(김지욱)과 저녁을 먹기 위해 이 주차장에 차를 주차했다. 저녁식사 후, 그는 주차비를 지불하고 그녀를 배웅해 준다.",매일 09시 - 23시,정보없음,연중무휴,서울특별시 종로구 화동 58-1,37.581775,126.981418,27251481.0,20221125
19,drama,(아는 건 별로 없지만) 가족입니다,이비스 스타일 앰배서더 명동,stay,계약 체결 중 박찬혁(김지석)은 그날 밤 김은주(추자현)로부터 만나자고 연락을 받는다. 그는 이 술집에서 은주를 만난다. 은주의 결혼 사진과 가족 문제에 대해 이야기한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 중구 삼일대로 302,37.56169,126.9894,260208888.0,20221125
20,drama,(아는 건 별로 없지만) 가족입니다,덕수궁 돌담길,playground,10회 방송에서는 술 취한 찬혁(김지석)과 술 취한 은희(한예리)가 20대 가을의 추억을 되새기기 위해 이 산책로를 찾았다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 중구 세종대로 99,37.565924,126.97501,27510734.0,20221125
21,drama,(아는 건 별로 없지만) 가족입니다,목남갤러리카페,cafe,카페의 옥상(실은 이곳이 옥상)에서 그녀에게 고백을 하고 두 사람은 이별의 키스로 저녁을 마무리한다. 은희는 언니의 차가 도착하는 것을 보고 갑자기 자신의 심장이 방금 키스한 사람이 아니라 다른 사람을 위해 뛰고 있다는 걸 깨닫는다,정보없음,정보없음,정보없음,서울특별시 중구 퇴계로68길 16,37.563753,127.00979,222569256.0,20221125
22,drama,(아는 건 별로 없지만) 가족입니다,그랜드 하얏트 인천,stay,1회에서 김은희(한예리)사 P&F 북의 신임 부사장 임건주(신동욱)를 위한 환영 만찬은 펼쳐진다. 안으로 들어서자 결혼 1주년을 맞아 아내가 도착하기를 기다리는 전 남자친구 이종민(최웅 분)과 마주친다.,"매일 입실 15시, 퇴실 11시",정보없음,연중무휴,인천광역시 중구 영종해안남로321번길 208,37.440449,126.45747,327451234.0,20221125
23,drama,(아는 건 별로 없지만) 가족입니다,고흥우주발사전망대,playground,은신처로 가는 길에 윤태형(김태훈)은 5화에서 전망을 보기 위해 이 전망대 전망대에 잠시 들른다. 6회에서는 김은희(한예리)와 박찬혁(김지석)도 태형(은희의 처남)을 찾기 위해 이곳에 들르는 모습이 그려졌다.,화-일 09시 - 18시 (시기별 상이),정보없음,"월요일, 명절, 공휴일 다음날",전라남도 고흥군 영남면 해맞이로 840,34.585051,127.49236,618305871.0,20221125
24,drama,(아는 건 별로 없지만) 가족입니다,파도리해수욕장,playground,김은주(추자현)가 윤태형(김태훈)을 깜짝 찾아오자 두 사람은 이 해변을 찾아오며 최종 16회를 마무리 짓는다.,매일 10시 - 19시,정보없음,연중무휴,충청남도 태안군 소원면 파도길 63-12,36.738979,126.13356,416702772.0,20221125
25,drama,#좋맛탱: 좋은 맛에 취하다,카우카우펍 합정점,restaurant,"그녀에게 끌리는 오싹한 선배 지수와 함께 밥을 먹는다. 실수로 언니의 셔츠에 소스를 바르고, 동생이 닦자고 손을 뻗기도 전에 같은 반 친구 이연남(김민규)이 그녀를 데리고 화장실로 가자고 한다. 연남은 충남에게 아침 일찍 장난을 쳤던 것에 대해 사과하고, 둘은 서로에게 별 감정 없음을 확인하고 친구가 되기로 한다.",매일 15시 - (익일) 05시,정보없음,연중무휴,서울특별시 마포구 독막로 10,37.548497,126.914483,23255353.0,20221125
26,drama,#좋맛탱: 좋은 맛에 취하다,데코아발림 본점,cafe,"충남이 카페의 용암초콜릿 케이크가 먹고 싶었다. SNS에 올라온 부정적인 댓글 때문에 자신이 부족하다고 느끼지만, 연남은 그녀에게 자신을 격려한다. 시크릿가든 스타일로 충남과의 키스를 꿈꾸는 연남이도 여기에 있다.","월,수-토 12시 - 23시, 일 14시 - 23시",정보없음,화요일,서울특별시 마포구 독막로15길 13-6,37.548376,126.92179,50713571970.0,20221125
27,drama,#좋맛탱: 좋은 맛에 취하다,정항우케익 서울연남점,cafe,"그녀는 어린 시절의 달달한 만남 때문에 카페 주인 홍대영(김성규)을 짝사랑하고 있는 것으로 밝혀졌다. 1화에서는 학교 선배인 김태이(HELLOVENUS 유영), 이연남(김민구)과 함께 온다. (대영이가 연남과 인연이 있는 줄도 모르고.)",화-일 10시 - 22시,정보없음,월요일,서울특별시 마포구 동교로29길 48,37.56249,126.92278,50713801301.0,20221125
28,drama,#좋맛탱: 좋은 맛에 취하다,공간비틀즈,restaurant,"1화에서 소름 끼치는 선배 지수가 저녁 식사 후 충남에게 집까지 태워주려 하고, 연남이 대신 걸어주겠다고 제안하는 모습이 나온다. 2화에서 연남은 술에 취한 충남이 지수와 함께 떠났다는 사실을 알고 급히 식당을 나선다.",월-토 19시 - (익일) 06시,정보없음,일요일,서울특별시 마포구 와우산로29길 27 B1,37.555019,126.92838,,20221125
29,drama,#좋맛탱: 좋은 맛에 취하다,율곡로3길,playground,"7회(전체 2회)에서 카페에서 애프터눈 티를 먹은 후 정서현(노을, 전 레인보우)과 홍대영(김성규)이 이 거리를 산책한다.",매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 율곡로3길,37.577811,126.98239,221481114.0,20221125
30,drama,1%의 어떤것,사천진해수욕장,playground,이재인(하식진)이 김다현(전소민)과 계약이 끝나기 전 마지막 데이트를 위해 데려온 곳이다.,매일 00시 - 24시,정보없음,연중무휴,강원도 강릉시 사천면 사천진리 266-2,37.842094,128.874568,336404414.0,20221125
31,drama,1%의 어떤것,보헤미안박이추커피,cafe,14회에서 이재인(하석진)과 김다현(전소민)이 해변 데이트를 마치고 이곳에 왔다. 다음 날 각자의 길을 갈 때 어떻게 할 것인지 이야기하고(계약기간이 끝나기 때문에) 재인은 다현에게 목걸이를 선물한다.,"평일 09시 - 20시, 주말 09시 - 19시",정보없음,연중무휴,강원도 강릉시 사천면 해안로 1107,37.846843,128.86688,336426688.0,20221125
32,drama,1%의 어떤것,인터컨티넨탈 알펜시아 평창 리조트,stay,이 호텔은 이재인(하식진)이 운영하는 성현그룹 소속 호텔이다.,"매일 입실 15시, 퇴실 11시",정보없음,연중무휴,강원도 평창군 대관령면 솔봉로 325,37.658254,128.66975,333390000.0,20221125
33,drama,1%의 어떤것,라꼼마빌딩,playground,김다현(전소민)은 이 카페에서 지수(백승헌)를 만난다. 2회에서 그녀는 팬클럽 회장이다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 어울마당로 44-1,37.548951,126.92088,262559979.0,20221125
34,drama,17세의 조건,서울역,station,안서연(박시은 분)과 고민재(윤찬영 분)는 1회에서 이 역에서 지하철을 타고 집으로 돌아온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 한강대로 405,37.554719,126.97065,261101331.0,20221125
35,drama,18 어게인,소토보체,stay,"12회에서 한밤중 수영을 못하는 정다정(김하늘)이 한 곳에 걸려 넘어지고, 고우영(이도현), 예지훈(위하준)은 그녀를 구하기 위해 직접 물속으로 뛰어들었다.",매일 15시 - 11시,정보없음,연중무휴,강원도 홍천군 화촌면 군업안말길 153-15,37.74281,128.00877,236789582.0,20221125
36,drama,18 어게인,오페라 디바스,restaurant,"1회에서 홍대영(윤상현)이 두 자녀 홍시아(노정의), 홍시우(려운)와 함께 이 식당에서 점심을 먹었다.",매일 11시 30분 - 22시,정보없음,연중무휴,경기도 고양시 덕양구 행주산성로 141,37.59965,126.81624,50713292501.0,20221125
37,drama,18 어게인,서울대공원,playground,홍대영(윤상현)은 두 아이 홍시아(이남경)과 홍시우(오자훈)는 4회에서 어려서 인연을 맺지 못한다.,매일 09시 - 17시,정보없음,연중무휴,경기도 과천시 대공원광장로 102,37.427542,127.01701,25007335.0,20221125
38,drama,18 어게인,모로미쿠시 광교카페거리점,restaurant,18회에서 절친 고덕진(김강현)과 이 이자카야에서 하트 투 하트 토크를 나눴다.,매일 17시 30분 - (익일) 01시,정보없음,연중무휴,경기도 수원시 영통구 센트럴파크로127번길 48,37.294673,127.05381,312154222.0,20221125
39,drama,18 어게인,파머스테이블,restaurant,"18회에서 홍대영(윤상현)과 정다정(김하늘)은 두 자녀 홍시아(노정의), 홍시우(려운)와 함께 이곳에서 가족 회식을 가졌다.","화-목, 주말 11시 30분 - 21시, 금 13시 30분 - 21시","화-목 15시 - 17시, 주말 15시 30분 - 16시 30분",월요일,경기도 파주시 탄현면 헤이리마을길 59-77,37.7902235,126.695397,319486225.0,20221125
40,drama,18 어게인,화이트블럭,playground,최일권(이기우)은 5화에서 정다정(김하늘)과 만나 파티 친구들과의 내기에서 이기기 위한 작전을 세우고 홍대영(이도현)은 멀리서 이 광경을 지켜본다.,"카페 평일 10시 30분 - 19시, 주말 10시 30분 - 21시, 전시 평일 11시 - 18시, 주말 11시 - 18시 30분",정보없음,연중무휴,경기도 파주시 탄현면 헤이리마을길 72,37.7889189,126.699592,319924400.0,20221125
41,drama,18 어게인,퍼스트가든,playground,12화에서 예지훈(위하준)을 모델로 한 고고플레이의 신작 '스파르타 - 전쟁의 왕' 게임은 이 정원에서 런칭된다.,매일 10시 - 22시,정보없음,연중무휴,경기도 파주시 탑삭골길 260,37.7321551,126.793933,319576861.0,20221125
42,drama,18 어게인,엘빈에비뉴라운지,restaurant,12회에서 추애린(이미도)이 고덕진(김강현)을 불러 이 술집에 술을 들이키는 모습이 그려졌다.,월-토 19시 - (익일) 03시,정보없음,일요일,서울특별시 강남구 강남대로92길 13,37.4990249,127.02849,50713149449.0,20221125
43,drama,18 어게인,태그호이어 청담점,store,"7, 9회에서 이 건물의 외관은 최일권(이기우)이 정기적으로 선생님과 학부모 간담회를 하는이 클럽의 하나로 등장한다.",매일 11시 30분 - 19시 30분,정보없음,연중무휴,서울특별시 강남구 선릉로 828,37.5258,127.0402,25486020.0,20221125
44,drama,18 어게인,C156,restaurant,이 장소는 2회에서 정다정(김하늘)과 절친 추애린(이미도)이 술을 마시러 왔다가 그날 저녁 아르바이트생으로 오빠를 도와주는 일권과 마주치는 최일권(이기우)의 동생이 운영하는 레스토랑 바로 등장한다..,매일 12시 - 22시,15시 - 17시,명절(당일),서울특별시 광진구 동일로 156,37.546081,127.06649,50713110060.0,20221125
45,drama,18 어게인,벌스가든,cafe,12회에서 정다정(김하늘)은 홍대영(윤상현)과 함께 입구 옆 쉼터를 찾았던 순간을 회상한다. 그리고 그는 우산과 꽃을 들고 돌아오기 위해 잠시 떠납니다.,"화-토 12시 - 22시 , 일 12시 - 21시",정보없음,월요일,서울특별시 마포구 성미산로23길 44,37.565239,126.92054,50713641888.0,20221125
46,drama,18 어게인,성미산로29길,playground,"고우영(이도현)과 홍시우(려운)는 18회7화에서 정다정(김하늘)과 추애린(이미도)을 마주치고, 우영은 애린이 자신의 정체를 밝혀내는 것을 두려워한다.",매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 성미산로29길 3,37.564235,126.92285,231538114.0,20221125
47,drama,18 어게인,누리꿈스퀘어빌딩,playground,추애린(이미도)이 일하는 방송사로 등장한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 마포구 연남동 396,37.579272,126.89028,221321000.0,20221125
48,drama,18 어게인,곤밥,restaurant,8회에서 예지훈(위하준)이 정다정(김하늘)을 저녁식사로 이 식당에 데려온다. 그리고 그들이 떠날 때 여사장님(박은영 카메오)과 지훈은 모두 다정에게 사인을 부탁한다.,월-토 16시 - 24시,정보없음,일요일,서울특별시 마포구 토정로 105,37.54516,126.92256,23365157.0,20221125
49,drama,18 어게인,올드문래,restaurant,8회에서 정다정(김하늘)은 절친 추애린(이미도)을 이 식당에서 만났다.,"월-목 11시 - 24시, 금 11시 - (익일) 01시, 토 12시 - (익일) 01시, 일 12시 - 24시",정보없음,연중무휴,서울특별시 영등포구 도림로 433-6,37.5138911,126.8942605,,20221125
50,drama,18 어게인,클럽메카,playground,5화에서 일권이 정다중(김하늘)을 유혹하겠다는 내기를 수락했다는 것이 밝혀지는 장면이 나온다. 7회에서 일권은 이 클럽에서 사모회를 열고 정다중(김하늘)과 고덕진(김강현)의 아들이 들어갈 수 있도록 돈을 갈취하려 한다.,주말 20시 - (익일) 06시,정보없음,평일,서울특별시 용산구 녹사평대로 140 크라운호텔 지하1층,37.531482,126.99078,,20221125
51,drama,18 어게인,더리버,playground,15회에서 정다정(김하늘 분)과 예지훈(위하준 분)은 이 장소에서 만나 마음을 터놓고 이야기를 나눈다.,매일 12시 - 21시,정보없음,연중무휴,서울특별시 용산구 용산동6가 451,37.507108,126.98472,25957148.0,20221125
52,drama,18 어게인,이촌로29길,playground,8회에서 홍대영(윤상현)은 이 거리에서 아버지 홍주만(이병준)과의 결별의 순간을 회상한다. 그의 아버지가 철로를 건너는 동안 그는 뒤에 머물렀다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 용산구 이촌로29길,37.525257,126.96103,221996114.0,20221125
53,drama,18 어게인,서울드래곤시티,stay,"정다정(김하늘 분)과 고우영/홍대영(이도현 분)이 함께 점심을 먹은 후, 다시 12화 이 장소에서 그랜드 메르큐어 호텔의 문을 통해 식당을 빠져나온다.",내부시설별 상이,정보없음,연중무휴,서울특별시 용산구 청파로20길 95,37.531844,126.96306,222237000.0,20221125
54,drama,18 어게인,창신동 채석장 전망대,playground,14회에서 오해가 풀린 후 홍대영(이도현)은 정다정(김하늘)과 이 곳에서 키스를 나눈다.,"화-금 11시 - 22시, 주말 11시 - 22시",정보없음,월요일,서울특별시 종로구 낙산5길 51,37.578223,127.01164,50713305416.0,20221125
55,drama,18 어게인,낙산공원,playground,1회에서 젊은 홍대영(이도현)과 정다정(한소은)이 젊은 부모가 되는 것이 무엇을 의미하는지 토론하는 곳으로 나온다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 낙산길 41,37.580667,127.00746,27437985.0,20221125
56,drama,18 어게인,삼일빌라,stay,홍씨 가족은 이 아파트에 살고 있다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 백석동1가길 12,37.594378,126.96757,233964114.0,20221125
57,drama,18 어게인,경희궁3길,playground,8회에서 홍대영(윤상현 분)은 아들 홍시우(려은 분)와 길을 건너던 이 거리에서 자신이 아이들과 얼마나 소원해졌는지 회상하며 특정 순간을 회상한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 사직동 경희궁 3길,37.57329,126.96731,221481114.0,20221125
58,drama,18 어게인,청계천,playground,정다정(김하늘)과 청소년 홍대영(이도현)은 15회에서 밤에 이 다리와 다리 사이를 건너며 데이트한다.,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 서린동 148,37.569205,126.97791,222906114.0,20221125
59,drama,18 어게인,시우식당,restaurant,8회에서 술을 마시러 식당에 찾아와 홍대가 희생한 모든 것을 생각하며 눈물을 흘린다.,평일 11시 - 21시,정보없음,주말,서울특별시 종로구 필운대로 18,37.577713,126.96952,27334172.0,20221125
60,drama,18 어게인,파로그랜드,restaurant,12회에서 정다정(김하늘)은 이 식당에 점심식사를 초대받았다.,월-토 11시 30분 - 22시,14시 30분 - 17시 30분,일요일,서울특별시 중구 을지로5길 26,37.567435,126.98516,260308585.0,20221125
61,drama,18 어게인,송도센트럴파크호텔,stay,8회에서 추애린(이미도)의 전 남자친구(허정민)가 그녀를 이 호텔로 데려와 이야기를 나눈다.,"매일 입실 15시, 퇴실 12시",정보없음,연중무휴,인천광역시 연수구 테크노파크로 193,37.3904903,126.637203,323105000.0,20221125
62,movie,1987,임진각,playground,영화 1987 초반부 김윤석이 차례를 지내는 곳,매일 00시 - 24시,정보없음,연중무휴,경기도 파주시 문산읍 임진각로 164,37.889542,126.740176,319534744.0,20221118
63,movie,1987,문화공감수정,playground,영화 1987에 나온 부산역 카페,화-일 10시 - 17시,정보없음,월요일,부산광역시 동구 홍곡로 75,35.125713,129.042622,514410004.0,20221118
64,movie,1987,연세대학교 신촌캠퍼스,playground,영화 1987에서 김태리가 다닌 대학교,매일 00시 - 24시,정보없음,연중무휴,서울특별시 서대문구 연세로 50,37.5637563,126.937546,221232114.0,20221118
65,movie,1987,민주인권기념관,playground,1987 촬영지이자 박종철이 고문으로 사망한 곳,임시휴업,정보없음,임시휴업(~ 2023년 6월),서울특별시 용산구 한강대로71길 37,37.541025,126.971672,313619500.0,20221118
66,movie,1987,천주교 서울대교구 주교좌명동대성당,playground,1987에서 김승훈 신부가 성명서를 발표한 곳,"화-토 11시 - 20시, 일 10시 - 20시, 월 성직자,수도자만",정보없음,연중무휴,서울특별시 중구 명동길 74,37.5632772,126.986827,27741784.0,20221118
67,movie,1987,서울특별시청,playground,영화 1987 마지막 장면의 배경이 된 장소,평일 09시 - 18시,12시 - 13시,주말,서울특별시 중구 세종대로 110,37.566291,126.977931,,20221118
68,movie,1987,연희네 슈퍼,playground,영화 1987에서 연희네 슈퍼로 나온 가게,매일 00시 - 24시,정보없음,연중무휴,전라남도 목포시 해안로127번길 14-2,34.78168,126.377325,612708432.0,20221118
69,movie,1987,청남대,playground,1987에서 문성근과 김윤석이 만나는 곳,"하절기 화-일 09시 - 18시, 동절기 화-일 09시 - 17시",정보없음,월요일,충청북도 청주시 상당구 문의면 청남대길 646,36.46255,127.4906,432575080.0,20221118
70,drama,스파이 명월,더피아노,cafe,이곳은 극 중 등장인물인 강우(에릭)의 집으로도 등장한다.,화-일 11시 - 18시 30분,정보없음,월요일,서울특별시 종로구 평창6길 71,37.617118,126.974742,23952480.0,20221125
71,drama,스포트라이트,켄싱턴호텔 여의도,stay,최종 16회에서 태석의 아버지 오승환과 함께 있는 이 식당에서 자신도 연루된 사건에 대해 더 이상 수사하지 말라고 애원하며 태석은 이를 거부한다.,"매일 입실 15시, 퇴실 11시",정보없음,연중무휴,서울특별시 영등포구 국회대로76길 16,37.530291,126.92187,266707000.0,20221125
72,drama,스포트라이트,청계천,playground,11회에서 대규모 촛불집회,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 서린동 148,37.569205,126.97791,222906114.0,20221125
73,drama,스폰서,MBC일산드림센터,playground,1회에서 이 건물에서 한채린(한채영)과 만나 자신에 대한 이야기를 나눴다.,매일 00시 - 24시,정보없음,연중무휴,경기도 고양시 일산동구 호수로 596,37.6547819,126.770815,27894852.0,20221125
74,drama,스폰서,운정호수공원,playground,1회에서 현승훈(구자성)은 이 공원에서 아침 조깅을 한다.,매일 00시 - 24시,정보없음,연중무휴,경기도 파주시 경의로 1151,37.71896,126.7552,319462125.0,20221125
75,drama,스폰서,로케이션 이음 (구 로얄퀘스트),playground,1회에서 한채린(한채영)이 자신을 찾아왔던 박 회장(박근형)의 집으로 찾아가는 저택 내부 일부로 등장한다.,매일 00시 - 24시 (예약 필수),정보없음,연중무휴,경기도 파주시 탄현면 새오리로286번길 48-70,37.713531,126.74641,319443249.0,20221125
76,drama,슬기로운 감빵생활,장흥교도소 세트장,playground,스타 야구선수 김제혁(박해수)이 감옥에 갇히는 교도소이다,매일 00시 - 24시,정보없음,연중무휴,전라남도 장흥군 장흥읍 원도리 191,34.686804,126.91329,618608321.0,20221125
77,drama,슬기로운 의사생활,베누스,restaurant,석형이 엄마랑 밥 먹다가 긴급콜 받고 나오던 곳,화-일 11시 - 22시,정보없음,월요일,경기도 고양시 덕양구 충장로 350번길 8,37.643307,126.839582,319686789.0,20221118
78,drama,슬기로운 의사생활,소리야 노래연습장,playground,11화에 나온 5인방 노래방,매일 00시 - 24시,정보없음,연중무휴,경기도 고양시 덕양구 화신로 260번길 47,37.632835,126.832576,50713900521.0,20221118
79,drama,슬기로운 의사생활,레오네,restaurant,10회에 '병원 앞 스테이크집'으로 식당이 등장한다.,목-화 11시 30분 - 22시,15시 - 17시 30분,수요일,경기도 고양시 일산동구 경의로 461,37.669986,126.786348,50714480918.0,20221125
80,drama,슬기로운 의사생활,카페문도,cafe,9화에서나온 익순준완커플 카페,"화-일 10시 - 21시, 월 10시 - 18시",정보없음,연중무휴,경기도 고양시 일산동구 고양대로 920-10,37.677108,126.797069,319010710.0,20221118
81,drama,슬기로운 의사생활,우신프라자,playground,"8회에서 정원(유연석)은 이 떡볶이집에서 친구들을 대접하지만, 정원의 효행을 듣고 석형(유대명)은 결국 저녁값을 대신 내겠다고 한다.",매일 00시 - 24시,정보없음,연중무휴,경기도 고양시 일산동구 장백로 184,37.6512534,126.777172,,20221125
82,drama,슬기로운 의사생활,진밭국수,restaurant,9화에서 익준이와 송화가 간 수제비집,화-일 11시 - 20시,정보없음,월요일,경기도 고양시 일산동구 진밭로 11,37.699803,126.799473,319765190.0,20221118
